timestamp,temperature,unit
2025-03-03T22:09:30Z,20.00,C
2025-03-03T23:21:30Z,30.00,C
2025-03-04T00:33:30Z,30.00,C
2025-03-04T01:45:30Z,21.02,C
2025-03-04T02:57:30Z,22.67,C
2025-03-04T04:09:30Z,20.00,C
2025-03-04T05:21:30Z,25.60,C
2025-03-04T06:33:30Z,22.06,C
2025-03-04T07:45:30Z,30.00,C
2025-03-04T08:57:30Z,22.35,C
2025-03-04T10:09:30Z,30.00,C
2025-03-04T11:21:30Z,20.00,C
2025-03-04T12:33:30Z,24.13,C
2025-03-04T13:45:30Z,23.07,C
2025-03-04T14:57:30Z,27.43,C
2025-03-04T16:09:30Z,23.52,C
2025-03-04T17:21:30Z,30.00,C
2025-03-04T18:33:30Z,30.00,C
2025-03-04T19:45:30Z,30.00,C
2025-03-04T20:57:30Z,30.00,C
2025-03-04T22:09:30Z,22.38,C
2025-03-04T23:21:30Z,24.37,C
2025-03-05T00:33:30Z,30.00,C
2025-03-05T01:45:30Z,20.00,C
2025-03-05T02:57:30Z,30.00,C
2025-03-05T04:09:30Z,20.00,C
2025-03-05T05:21:30Z,26.58,C
2025-03-05T06:33:30Z,27.13,C
2025-03-05T07:45:30Z,21.45,C
2025-03-05T08:57:30Z,30.00,C
2025-03-05T10:09:30Z,20.00,C
2025-03-05T11:21:30Z,30.00,C
2025-03-05T12:33:30Z,26.57,C
2025-03-05T13:45:30Z,20.00,C
2025-03-05T14:57:30Z,26.66,C
2025-03-05T16:09:30Z,30.00,C
2025-03-05T17:21:30Z,20.00,C
2025-03-05T18:33:30Z,23.96,C
2025-03-05T19:45:30Z,25.90,C
2025-03-05T20:57:30Z,20.00,C
2025-03-05T22:09:30Z,30.00,C
2025-03-05T23:21:30Z,30.00,C
2025-03-06T00:33:30Z,20.00,C
2025-03-06T01:45:30Z,30.00,C
2025-03-06T02:57:30Z,27.73,C
2025-03-06T04:09:30Z,20.72,C
2025-03-06T05:21:30Z,30.00,C
2025-03-06T06:33:30Z,28.33,C
2025-03-06T07:45:30Z,30.00,C
2025-03-06T08:57:30Z,24.86,C
2025-03-06T10:09:30Z,30.00,C
2025-03-06T11:21:30Z,29.42,C
2025-03-06T12:33:30Z,29.28,C
2025-03-06T13:45:30Z,30.00,C
2025-03-06T14:57:30Z,30.00,C
2025-03-06T16:09:30Z,22.95,C
2025-03-06T17:21:30Z,23.25,C
2025-03-06T18:33:30Z,29.80,C
2025-03-06T19:45:30Z,28.51,C
2025-03-06T20:57:30Z,22.06,C
2025-03-06T22:09:30Z,23.98,C
2025-03-06T23:21:30Z,24.05,C
2025-03-07T00:33:30Z,24.72,C
2025-03-07T01:45:30Z,20.00,C
2025-03-07T02:57:30Z,27.94,C
2025-03-07T04:09:30Z,24.38,C
2025-03-07T05:21:30Z,23.21,C
2025-03-07T06:33:30Z,20.00,C
2025-03-07T07:45:30Z,22.77,C
2025-03-07T08:57:30Z,24.23,C
2025-03-07T10:09:30Z,20.00,C
2025-03-07T11:21:30Z,20.00,C
2025-03-07T12:33:30Z,20.33,C
2025-03-07T13:45:30Z,28.17,C
2025-03-07T14:57:30Z,22.74,C
2025-03-07T16:09:30Z,30.00,C
2025-03-07T17:21:30Z,27.44,C
2025-03-07T18:33:30Z,24.01,C
2025-03-07T19:45:30Z,21.54,C
2025-03-07T20:57:30Z,23.17,C
2025-03-07T22:09:30Z,20.62,C
2025-03-07T23:21:30Z,29.91,C
2025-03-08T00:33:30Z,20.00,C
2025-03-08T01:45:30Z,24.12,C
2025-03-08T02:57:30Z,29.61,C
2025-03-08T04:09:30Z,30.00,C
2025-03-08T05:21:30Z,20.00,C
2025-03-08T06:33:30Z,20.00,C
2025-03-08T07:45:30Z,20.00,C
2025-03-08T08:57:30Z,26.74,C
2025-03-08T10:09:30Z,20.00,C
2025-03-08T11:21:30Z,30.00,C
2025-03-08T12:33:30Z,20.00,C
2025-03-08T13:45:30Z,22.00,C
2025-03-08T14:57:30Z,22.74,C
2025-03-08T16:09:30Z,20.47,C
2025-03-08T17:21:30Z,21.28,C
2025-03-08T18:33:30Z,23.68,C
2025-03-08T19:45:30Z,25.74,C
2025-03-08T20:57:30Z,25.18,C
